T,I_1,I_2,I_3
24.0822,-0.0629794790874565,1.64884010038961,0.953275839432962
24.084,-0.0632742351391529,1.64917028138243,0.953293925338505
24.0858,-0.063567493738161,1.64949998750896,0.95331198197549
24.0876,-0.0638592529962666,1.64982921744329,0.953330009391724
24.0894,-0.0641495110594721,1.65015796986526,0.953348007634937
24.0912,-0.0644382661079944,1.65048624346059,0.953365976752784
24.093,-0.0647255163562668,1.65081403692075,0.953383916792843
24.0948,-0.0650112600529378,1.65114134894308,0.953401827802614
24.0966,-0.0652954954808716,1.65146817823068,0.953419709829522
24.0984,-0.0655782209571479,1.6517945234925,0.953437562920914
24.1002,-0.065859434833062,1.65212038344328,0.953455387124061
24.102,-0.066139135494125,1.65244575680359,0.953473182486157
24.1038,-0.0664173213600635,1.65277064229979,0.95349094905432
24.1056,-0.0666939908848193,1.65309503866407,0.953508686875589
24.1074,-0.0669691425565504,1.65341894463444,0.953526395996929
24.1092,-0.06724277489763,1.65374235895469,0.953544076465226
24.111,-0.067514886464647,1.65406528037445,0.953561728327292
24.1128,-0.0677854758484057,1.65438770764916,0.953579351629861
24.1146,-0.0680545416739266,1.65470963954006,0.953596946419588
24.1164,-0.0683220826004451,1.65503107481421,0.953614512743055
24.1182,-0.0685880973214124,1.65535201224447,0.953632050646765
24.12,-0.0688525845644954,1.65567245060954,0.953649560177145
24.1218,-0.0691155430915767,1.6559923886939,0.953667041380544
24.1236,-0.0693769716987541,1.65631182528787,0.953684494303238
24.1254,-0.0696368692163411,1.65663075918756,0.953701918991421
24.1272,-0.0698952345088674,1.6569491891949,0.953719315491215
24.129,-0.0701520664750774,1.65726711411764,0.953736683848663
24.1308,-0.0704073640479316,1.65758453276934,0.953754024109731
24.1326,-0.0706611261946058,1.65790144396936,0.953771336320308
24.1344,-0.0709133519164918,1.65821784654289,0.953788620526209
24.1362,-0.0711640402491967,1.65853373932091,0.95380587677317
24.138,-0.0714131902625433,1.65884912114023,0.95382310510685
24.1398,-0.0716608010605696,1.65916399084347,0.953840305572833
24.1416,-0.0719068676535952,1.65947834691029,0.953857478218122
24.1434,-0.0721513786028154,1.65979218724514,0.953874623091164
