T,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
0.405,0,0,0,0.301113821664894,0,0,0,0,0,0
0.4068,0,0,0,0.30357024602188,0,0,0,0,0,0
0.4086,0,0,0,0.306034464175771,0,0,0,0,0,0
0.4104,0,0,0,0.308506447843622,0,0,0,0,0,0
0.4122,0,0,0,0.310986168737992,0,0,0,0,0,0
0.414,0,0,0,0.313473598566927,0,0,0,0,0,0
0.4158,0,0,0,0.315968709033976,0,0,0,0,0,0
0.4176,0,0,0,0.31847147183818,0,0,0,0,0,0
0.4194,0,0,0,0.320981858674075,0,0,0,0,0,0
0.4212,0,0,0,0.323499841231696,0,0,0,0,0,0
0.423,0,0,0,0.32602539119657,0,0,0,0,0,0
0.4248,0,0,0,0.328558480249723,0,0,0,0,0,0
0.4266,0,0,0,0.331099080067675,0,0,0,0,0,0
0.4284,0,0,0,0.333647162322443,0,0,0,0,0,0
0.4302,0,0,0,0.336202698681537,0,0,0,0,0,0
0.432,0,0,0,0.338765660807965,0,0,0,0,0,0
0.4338,0,0,0,0.341336020360231,0,0,0,0,0,0
0.4356,0,0,0,0.343913748992334,0,0,0,0,0,0
0.4374,0,0,0,0.346498818353768,0,0,0,0,0,0
0.4392,0,0,0,0.349091200089523,0,0,0,0,0,0
0.441,0,0,0,0.351690865840087,0,0,0,0,0,0
0.4428,0,0,0,0.354297787241441,0,0,0,0,0,0
0.4446,0,0,0,0.356911935925063,0,0,0,0,0,0
0.4464,0,0,0,0.359533283517925,0,0,0,0,0,0
0.4482,0,0,0,0.362161801642498,0,0,0,0,0,0
0.45,0,0,0,0.364797461916746,0,0,0,0,0,0
0.4518,0,0,0,0.367440235954129,0,0,0,0,0,0
0.4536,0,0,0,0.370090095363604,0,0,0,0,0,0
0.4554,0,0,0,0.372747011749623,0,0,0,0,0,0
0.4572,0,0,0,0.375410956712134,0,0,0,0,0,0
0.459,0,0,0,0.37808190184658,0,0,0,0,0,0
0.4608,0,0,0,0.380759818743901,0,0,0,0,0,0
0.4626,0,0,0,0.383444678990532,0,0,0,0,0,0
0.4644,0,0,0,0.386136454168403,0,0,0,0,0,0
0.4662,0,0,0,0.38883511585494,0,0,0,0,0,0
0.468,0,0,0,0.391540635623066,0,0,0,0,0,0
0.4698,0,0,0,0.3942529850412,0,0,0,0,0,0
0.4716,0,0,0,0.396972135673254,0,0,0,0,0,0
0.4734,0,0,0,0.399698059078637,0,0,0,0,0,0
0.4752,0,0,0,0.402430726812255,0,0,0,0,0,0
0.477,0,0,0,0.40517011042451,0,0,0,0,0,0
0.4788,0,0,0,0.407916181461297,0,0,0,0,0,0
